Designator,Mid X,Mid Y,Rotation,Layer
_12,163.54,-101.46,180.0,top
_11,163.54,-98.16,180.0,top
_10,163.54,-99.26,180.0,top
_9,163.12,-111.76,270.0,top
_8,153.51,-112.16,270.0,top
_7,163.54,-103.66,180.0,top
_6,163.54,-102.56,180.0,top
_5,163.54,-100.36,180.0,top
_4,163.54,-105.86,180.0,top
_3,153.49,-96.86,270.0,top
_2,163.54,-104.76,180.0,top
,162.99,-96.61,270.0,top
+_2,203.745119,-72.43,180.0,top
+,203.745119,-46.74,180.0,top
ArduinoShieldFootprint,171.290119,-66.06,0.0,top
C1_5,157.341314,-133.918686,0.0,top
C1_4,213.172,-83.3675,0.0,top
C1_3,244.48,-50.37,270.0,top
C1_2,213.4985,-58.1395,180.0,top
C1,250.19,-131.93,90.0,top
C10,242.71,-63.76,90.0,top
C11,232.73,-50.41,90.0,top
C12,235.05,-50.41,90.0,top
C13,237.93,-50.39,90.0,top
C14,240.24,-50.39,90.0,top
C15,234.49,-57.87,0.0,bottom
C16,238.3375,-57.87,180.0,bottom
C2_3,213.4975,-59.72,180.0,top
C2_2,230.47,-50.41,270.0,top
C2,170.841314,-133.918686,0.0,top
C3_3,242.37,-50.37,270.0,top
C3_2,184.941314,-133.918686,0.0,top
C3,213.4975,-61.28,180.0,top
C4_2,198.441314,-133.918686,0.0,top
C4,228.36,-50.41,270.0,top
C5,237.68,-67.13,0.0,top
C6,245.33,-63.82,90.0,bottom
C7,231.95,-64.72,270.0,top
C8,234.02,-64.72,270.0,top
C9,227.37,-63.55,90.0,bottom
D1,240.5675,-132.34,180.0,top
D2,240.565,-130.6,180.0,top
D3,237.95,-131.4075,90.0,top
J1_10,195.32,-103.96,0.0,top
J1_9,217.782,-81.0675,180.0,top
J1_8,218.015,-101.72,270.0,top
J1_7,236.41,-43.24,0.0,top
J1_6,166.316314,-138.218686,90.0,top
J1_5,244.17,-144.64,270.0,top
J1_4,217.79675,-63.898072,180.0,top
J1_3,217.62,-108.0,270.0,top
J1_2,201.235,-105.47,90.0,top
J1,246.95,-52.06,270.0,bottom
J2_2,236.17,-87.255,270.0,top
J2,190.391314,-138.343686,90.0,top
L1,232.49,-52.54,270.0,bottom
L2,240.44,-52.56,270.0,bottom
LS1,154.841314,-120.618686,0.0,top
LS2,165.341314,-120.618686,0.0,top
LS3,175.841314,-120.618686,0.0,top
LS4,186.341314,-120.618686,0.0,top
LS5,196.841314,-120.618686,0.0,top
LS6,207.341314,-120.618686,0.0,top
LS7,217.841314,-120.618686,0.0,top
LS8,228.341314,-120.618686,0.0,top
MK1_2,213.82,-63.72,90.0,top
MK1,213.39,-80.74,270.0,top
R1_8,213.80675,-66.548072,180.0,top
R1_7,172.5525,-99.69,180.0,top
R1_6,245.17,-131.42,270.0,top
R1_5,172.5725,-102.29,180.0,top
R1_4,177.45,-107.54,270.0,top
R1_3,172.5625,-97.09,180.0,top
R1_2,237.65,-64.98,180.0,top
R1,179.8,-107.54,270.0,top
R2_3,243.17,-131.43,270.0,top
R2_2,237.66,-62.88,0.0,top
R2,213.80675,-68.278072,180.0,top
R3_3,240.62,-63.79,270.0,top
R3_2,213.80675,-69.968072,180.0,top
R3,247.67,-131.41,270.0,top
R4_2,239.23,-121.1075,270.0,top
R4,227.38,-78.48,90.0,top
R5_2,240.91,-121.1075,270.0,top
R5,228.44,-54.25,270.0,top
R6,238.63,-126.88,270.0,top
R7,250.65,-111.74,270.0,top
R8,250.65,-115.21,90.0,top
R9,250.64,-118.69,90.0,top
SW1_3,221.55,-79.44,270.0,top
SW1_2,221.53,-52.55,270.0,top
SW1,244.15,-111.92,0.0,bottom
SW2,244.145,-113.45,0.0,top
U1_4,236.81,-57.15,0.0,top
U1_3,184.925119,-78.395,180.0,top
U1_2,155.241314,-130.118686,270.0,top
U1,244.39,-126.25,90.0,top
U2_3,169.670119,-61.2975,90.0,top
U2_2,168.741314,-130.118686,270.0,top
U2,245.585,-120.115,90.0,top
U3,182.841314,-130.118686,270.0,top
U4,196.341314,-130.118686,270.0,top
U5,173.525119,-78.405,180.0,top
